name,price,reviews,reviewScore,copiesSold,publishers,avg_publisher_copies,year,season,years_since_release,popularity,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,RPG,Racing,Simulation,Sports,Strategy
Bully: Scholarship Edition,14.99,29254,85,1856661,Rockstar Games,1577840.2307692308,2008,Fall,16,4,1,1,0,0,0,0,0,0,0,0,0,0
Anno 2070™,19.99,11907,60,880537,Ubisoft,914871.4875,2011,Fall,13,4,0,0,0,0,0,0,0,0,0,0,0,1
Far Cry® 6,59.99,19279,73,940171,Ubisoft,914871.4875,2023,Spring,1,4,1,1,0,0,0,0,0,0,0,0,0,0
Zombie Army Trilogy,44.99,16241,87,1250399,Rebellion,887431.9230769231,2015,Spring,9,4,1,0,0,0,0,0,0,0,0,0,0,0
The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,23050,95,1388767,Bethesda Softworks,1513561.1956521738,2009,Summer,15,4,0,0,0,0,0,0,0,1,0,0,0,0
The Stanley Parable: Ultra Deluxe,24.99,25898,94,816056,Crows Crows Crows,443859.5,2022,Spring,2,4,0,1,1,0,0,1,0,0,0,0,0,0
The Callisto Protocol™,59.99,30166,63,383060,"KRAFTON, Inc.",281195.5,2022,Winter,2,3,1,1,0,0,0,0,0,0,0,0,0,0
Stronghold Crusader 2,39.99,15349,71,958293,FireFly Studios,482738.25,2014,Fall,10,4,0,0,0,0,0,0,0,0,0,1,0,1
Golf It!,8.99,25897,91,2559150,Perfuse Entertainment,2559150.0,2023,Summer,1,4,0,0,1,0,0,1,0,0,0,1,1,0
INSIDE,19.99,54120,97,2000505,Playdead,2659854.5,2016,Summer,8,4,1,1,0,0,0,1,0,0,0,0,0,0
Mass Effect (2007),29.99,16148,94,1280954,Electronic Arts,1221779.0483870967,2008,Winter,16,4,1,0,0,0,0,0,0,1,0,0,0,0
Risk of Rain Returns,14.99,25787,90,1087625,Gearbox Publishing,826114.0,2023,Fall,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Wildermyth,24.99,15828,95,696985,"Worldwalker Games LLC, WhisperGames",696985.0,2021,Summer,3,3,0,0,0,0,0,1,0,1,0,0,0,1
Hotline Miami,9.99,88980,97,4273146,Devolver Digital,766832.0655737704,2012,Fall,12,4,1,0,0,0,0,1,0,0,0,0,0,0
Deadside,24.99,31802,77,903812,"Bad Pixel, tinyBuild",903812.0,2020,Spring,4,4,1,1,0,1,0,1,1,0,0,0,0,0
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,49.99,12186,84,684617,"KOEI TECMO GAMES CO., LTD.",335365.6842105263,2014,Spring,10,3,1,0,0,0,0,0,0,0,0,0,0,0
Assassin’s Creed® Brotherhood,19.99,19022,89,1557499,Ubisoft,914871.4875,2011,Spring,13,4,1,1,0,0,0,0,0,0,0,0,0,0
Bodycam,33.32,18040,74,443624,Reissad Studio,443624.0,2024,Summer,0,3,1,0,0,1,0,1,1,0,0,1,0,1
Gujian3(古剑奇谭三),29.99,45087,86,1086244,北京网元圣唐娱乐科技有限公司,404165.25,2018,Winter,6,4,0,0,0,0,0,0,0,1,0,0,0,0
A Total War Saga: THRONES OF BRITANNIA,39.99,13258,70,497756,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",1860733.111111111,2018,Spring,6,3,1,0,0,0,0,0,0,0,0,0,0,1
Resident Evil Revelations,19.99,12302,85,804381,Capcom,836097.8095238095,2013,Spring,11,4,1,1,0,0,0,0,0,0,0,0,0,0
OMORI,19.99,63904,98,847223,"OMOCAT, LLC",847223.0,2020,Winter,4,4,0,1,0,0,0,1,0,1,0,0,0,0
The Quarry,59.99,11992,79,511602,2K Games,511602.0,2022,Summer,2,3,0,1,0,0,0,0,0,0,0,0,0,0
Starship Troopers: Extermination,29.99,25353,89,530092,Offworld,415792.0,2023,Spring,1,3,1,0,0,1,0,1,0,0,0,0,0,0
LEGO® Star Wars™ - The Complete Saga,19.99,21293,97,1377772,"LucasArts, Lucasfilm, Disney",516863.875,2009,Fall,15,4,0,1,0,0,0,0,0,0,0,0,0,0
Deus Ex: Human Revolution - Director's Cut,19.99,26151,92,2000932,Eidos Interactive Corp.,832362.4,2013,Fall,11,4,1,0,0,0,0,0,0,1,0,0,0,0
VTOL VR,29.99,15070,98,501963,"Boundless Dynamics, LLC",501963.0,2017,Summer,7,3,1,0,0,0,0,1,0,0,0,1,0,0
Hotline Miami 2: Wrong Number,14.99,53142,94,2514661,Devolver Digital,766832.0655737704,2015,Spring,9,4,1,0,0,0,0,1,0,0,0,0,0,0
Left 4 Dead,9.99,51969,96,1843950,Valve,2727962.84,2008,Fall,16,4,1,0,0,0,0,0,0,0,0,0,0,0
X-Plane 11,29.99,16759,93,384215,Laminar Research,255212.5,2017,Spring,7,3,0,0,0,0,0,0,0,0,0,1,0,0
Magicka,9.99,29798,88,2727451,Paradox Interactive,1036797.0,2011,Winter,13,4,1,0,0,0,0,0,0,1,0,0,0,0
Thief Simulator,19.99,28779,88,2519834,PlayWay S.A.,760242.875,2018,Fall,6,4,1,1,0,0,0,1,0,0,0,1,0,0
Total War: NAPOLEON – Definitive Edition,24.99,22466,91,1668937,"SEGA, Feral Interactive (Mac)",919485.5,2010,Winter,14,4,0,0,0,0,0,0,0,0,0,0,0,1
Katana ZERO,14.99,61152,98,1445879,Devolver Digital,766832.0655737704,2019,Spring,5,4,1,0,0,0,0,1,0,0,0,0,0,0
Inside the Backrooms,6.99,39621,84,2932961,"MrFatcat, Dropsiick",2932961.0,2022,Summer,2,4,0,1,0,1,0,1,0,0,0,0,0,0
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,19.99,9115,95,494039,D3PUBLISHER,468875.5,2016,Summer,8,3,1,0,0,0,0,0,0,0,0,0,0,0
UNO,9.99,46602,73,3155007,Ubisoft Entertainment,1143992.4,2017,Winter,7,4,0,0,1,0,0,0,0,0,0,0,0,0
Loop Hero,14.99,31995,93,1536211,Devolver Digital,766832.0655737704,2021,Spring,3,4,0,0,0,0,0,1,0,1,0,0,0,1
Ghostwire: Tokyo,59.99,15432,82,435755,Bethesda Softworks,1513561.1956521738,2022,Spring,2,3,1,0,0,0,0,0,0,0,0,0,0,0
Sifu,39.99,10784,94,547886,"Sloclap, Kepler Interactive",547886.0,2023,Spring,1,3,1,0,0,0,0,1,0,0,0,0,0,0
Going Medieval,24.99,15885,90,658518,Mythwright,658518.0,2021,Summer,3,3,0,0,0,1,0,1,0,1,0,1,0,1
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,59.99,17048,88,332158,SEGA,613598.4303797468,2021,Fall,3,3,1,1,0,0,0,0,0,0,0,0,0,0
Untitled Goose Game,19.99,16987,96,1150577,Panic,1150577.0,2020,Fall,4,4,1,0,0,0,0,1,0,0,0,0,0,0
"Ranch Simulator: Build, Farm, Hunt",24.99,21988,84,877499,Excalibur Games,572420.3333333334,2023,Fall,1,4,0,0,0,0,0,0,0,0,0,1,0,0
WWE 2K23,59.99,5433,79,304195,2K,1044324.4615384615,2023,Spring,1,3,0,0,0,0,0,0,0,0,0,1,1,0
MX Bikes,34.99,19778,94,401497,PiBoSo,401497.0,2019,Fall,5,3,0,0,0,1,0,0,0,0,1,1,1,0
Destroy All Humans!,29.99,9599,93,510975,THQ Nordic,419189.89130434784,2020,Summer,4,3,1,1,0,0,0,0,0,0,0,0,0,0
Hero's Land,0.0,39568,54,1219044,Orienjoy,1219044.0,2023,Spring,1,4,1,1,0,0,1,0,1,1,0,0,0,0
STAR WARS™ Empire at War - Gold Pack,19.99,34064,98,1229034,"LucasArts, Lucasfilm, Disney",516863.875,2010,Spring,14,4,0,0,0,0,0,0,0,0,0,0,0,1
Dinkum,19.99,18823,95,809603,James Bendon,809603.0,2022,Summer,2,4,0,0,0,1,0,1,0,1,0,1,0,0
Superliminal,19.99,24841,95,991563,Pillow Castle,991563.0,2020,Fall,4,4,1,1,0,0,0,0,0,0,0,0,0,0
Persona® 5 Strikers,59.99,13008,91,384551,SEGA,613598.4303797468,2021,Winter,3,3,1,1,0,0,0,0,0,0,0,0,0,0
Command & Conquer™ Remastered Collection,19.99,29742,91,956581,Electronic Arts,1221779.0483870967,2020,Summer,4,4,0,0,0,0,0,0,0,0,0,0,0,1
Naval Action,0.0,12326,58,305577,Game-Labs,241501.6,2019,Summer,5,3,0,0,0,0,1,1,1,0,1,1,0,0
Fallout 4 VR,59.99,7354,62,307327,Bethesda Softworks,1513561.1956521738,2017,Winter,7,3,0,0,0,0,0,0,0,1,0,0,0,0
Stranded: Alien Dawn,34.99,7425,86,483945,Frontier Foundry,273914.25,2023,Spring,1,3,0,0,0,0,0,0,0,0,0,1,0,1
NOBUNAGA'S AMBITION: Awakening,59.99,1804,73,261601,"KOEI TECMO GAMES CO., LTD.",335365.6842105263,2022,Summer,2,2,0,0,0,0,0,0,0,0,0,1,0,0
Brotato,4.99,73663,97,3494255,Blobfish,3494255.0,2023,Summer,1,4,1,0,1,0,0,1,0,1,0,0,0,0
Orcs Must Die! 3,29.99,11664,85,826455,Robot Entertainment,1003564.3333333334,2021,Summer,3,4,1,1,0,0,0,1,0,0,0,0,0,1
Space Hulk: Deathwing Enhanced Edition,29.99,8650,72,709333,Focus Entertainment,541846.2352941176,2018,Spring,6,4,1,1,0,0,0,0,0,0,0,0,0,0
Being a DIK - Season 1,13.99,10585,97,1075135,Dr PinkCake,703247.0,2020,Winter,4,4,0,0,0,0,0,1,0,0,0,0,0,0
S.T.A.L.K.E.R.: Call of Pripyat,19.99,25807,96,1307377,GSC Game World,1275157.0,2010,Winter,14,4,1,0,0,0,0,0,0,1,0,0,0,0
MOBILE SUIT GUNDAM BATTLE OPERATION 2,0.0,18423,21,528833,Bandai Namco Entertainment Inc.,605386.0,2023,Spring,1,3,1,0,0,0,1,0,0,0,0,0,0,0
FINAL FANTASY XII THE ZODIAC AGE,49.99,7097,90,394746,Square Enix,733116.220338983,2018,Winter,6,3,0,0,0,0,0,0,0,1,0,0,0,0
Life is Feudal: Your Own,19.99,11768,66,509800,Bitbox Ltd.,382162.0,2015,Fall,9,3,1,0,0,0,0,1,0,1,0,1,0,0
Kingdoms and Castles,14.99,26979,93,1480210,"Lion Shield, LLC",1480210.0,2017,Summer,7,4,0,0,0,0,0,1,0,0,0,1,0,1
We Happy Few,59.99,12312,77,522448,Gearbox Publishing,826114.0,2018,Summer,6,3,1,1,0,0,0,1,0,0,0,0,0,0
Poppy Playtime,0.0,75856,80,3931731,Mob Entertainment,3927483.0,2021,Fall,3,4,1,1,0,0,0,1,0,0,0,0,0,0
Tom Clancy’s The Division® 2,39.99,14972,71,1125567,Ubisoft,914871.4875,2023,Winter,1,4,1,1,0,0,0,0,0,1,0,0,0,0
Atelier Ryza: Ever Darkness & the Secret Hideout,59.99,7462,87,324729,"KOEI TECMO GAMES CO., LTD.",335365.6842105263,2019,Fall,5,3,0,0,0,0,0,0,0,1,0,0,0,0
Wobbly Life,17.99,19462,97,940975,"RubberBandGames, Curve Games",940975.0,2020,Summer,4,4,1,1,1,1,0,1,0,0,0,1,0,0
Wargame: Red Dragon,29.99,17712,89,873147,Eugen Systems,431216.5,2014,Spring,10,4,0,0,0,0,0,1,0,0,0,1,0,1
STAR WARS™ Knights of the Old Republic™,9.99,29010,91,2224847,"LucasArts, Aspyr (Mac), Disney, Lucasfilm",2224847.0,2009,Fall,15,4,0,1,0,0,0,0,0,1,0,0,0,0
LIMBO,9.99,49668,93,3319204,Playdead,2659854.5,2011,Summer,13,4,1,1,0,0,0,1,0,0,0,0,0,0
Empyrion - Galactic Survival,19.99,30694,80,1093973,Eleon Game Studios,1093973.0,2020,Summer,4,4,0,1,0,0,0,1,0,0,0,1,0,1
Crysis 2 - Maximum Edition,29.99,13214,85,1137805,Electronic Arts,1221779.0483870967,2011,Spring,13,4,1,0,0,0,0,0,0,0,0,0,0,0
Dead Space™ 2,19.99,22236,94,1341838,Electronic Arts,1221779.0483870967,2011,Winter,13,4,1,1,0,0,0,0,0,0,0,0,0,0
VEGA Conflict,0.0,4776,59,366514,KIXEYE,366514.0,2015,Winter,9,3,0,0,0,0,1,0,1,0,0,0,0,1
The Texas Chain Saw Massacre,39.99,15765,75,349869,Gun Interactive,349869.0,2023,Summer,1,3,1,0,0,0,0,1,0,0,0,0,0,0
Soul Dossier,0.0,24515,82,1601562,（Hong Kong）GKD,1601562.0,2021,Spring,3,4,1,1,0,0,1,0,1,1,0,0,0,1
Lords Of The Fallen™ 2014,29.99,18975,60,942012,CI Games,588348.6666666666,2014,Fall,10,4,1,0,0,0,0,0,0,1,0,0,0,0
PAYDAY™ The Heist,14.99,39375,93,2426173,Daybreak Game Company,4082585.0,2011,Fall,13,4,1,0,0,0,0,0,0,0,0,0,0,0
Richman10,13.99,13539,52,1208413,SOFTSTAR ENTERTAINMENT,521110.3333333333,2019,Fall,5,4,0,0,1,0,0,0,0,0,0,0,0,1
Ni no Kuni™ II: Revenant Kingdom,59.99,10180,84,419574,BANDAI NAMCO Entertainment,548805.9117647059,2018,Spring,6,3,0,1,0,0,0,0,0,1,0,0,0,0
BONELAB,39.99,13331,77,330364,Stress Level Zero,496655.6666666667,2022,Fall,2,3,1,1,0,0,0,0,0,0,0,1,0,0
The Long Drive,15.99,31857,92,1094239,Genesz,1094239.0,2019,Fall,5,4,1,1,1,1,0,1,0,0,0,1,0,0
Age of Wonders: Planetfall,29.99,6017,80,390012,Paradox Interactive,1036797.0,2019,Summer,5,3,0,0,0,0,0,0,0,0,0,0,0,1
Mafia II: Definitive Edition,29.99,21201,71,827120,2K,1044324.4615384615,2020,Spring,4,4,1,1,0,0,0,0,0,0,0,0,0,0
Tales of Berseria™,49.99,16859,92,681292,BANDAI NAMCO Entertainment,548805.9117647059,2017,Winter,7,3,1,0,0,0,0,0,0,1,0,0,0,0
The Riftbreaker,29.99,15291,91,621197,"EXOR Studios, Surefire.Games",414074.0,2021,Fall,3,3,1,1,0,0,0,1,0,1,0,1,0,1
The Wolf Among Us,14.99,31752,98,1129561,Telltale,617682.0,2013,Fall,11,4,1,1,1,0,0,0,0,0,0,0,0,0
The Evil Within,19.99,26825,85,1110675,Bethesda Softworks,1513561.1956521738,2014,Fall,10,4,1,0,0,0,0,0,0,0,0,0,0,0
Hardspace: Shipbreaker,34.99,17602,89,566884,Focus Entertainment,541846.2352941176,2022,Spring,2,3,0,0,0,0,0,0,0,0,0,1,0,0
The Jackbox Party Pack 3,24.99,5567,97,683851,"Jackbox Games, Inc.",404551.0,2016,Fall,8,3,0,0,1,0,0,1,0,0,0,0,0,1
Squad 44,29.99,20677,77,542903,Offworld,415792.0,2018,Summer,6,3,1,0,0,0,0,1,1,0,0,0,0,1
Mabinogi,0.0,3775,75,343231,Nexon America Inc.,866068.0,2012,Winter,12,3,1,1,1,0,1,0,1,1,0,1,0,0
Planetary Annihilation: TITANS,29.99,13258,85,911488,Planetary Annihilation Inc,911488.0,2015,Summer,9,4,1,0,0,0,0,1,0,0,0,0,0,1
Dungeon Defenders,14.99,16744,93,1456452,Chromatic Games,1788336.6666666667,2011,Fall,13,4,1,0,0,0,0,1,0,1,0,0,0,1
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,29.99,14935,94,603059,THQ Nordic,419189.89130434784,2020,Summer,4,3,1,1,1,0,0,0,0,0,0,0,0,0
Danganronpa: Trigger Happy Havoc,19.99,26545,96,1048425,"Spike Chunsoft Co., Ltd.",384464.45454545453,2016,Winter,8,4,0,1,0,0,0,0,0,0,0,0,0,0
DJMAX RESPECT V,49.99,24137,88,650562,NEOWIZ,548632.2857142857,2020,Spring,4,3,1,0,1,0,0,0,0,0,0,0,1,0
Dead Island Definitive Edition,19.99,21845,82,2044870,Deep Silver,1304229.3043478262,2016,Spring,8,4,1,0,0,0,0,0,0,0,0,0,0,0
Dawn of Man,24.99,15804,87,667555,Madruga Works,543753.5,2019,Spring,5,3,0,0,0,0,0,1,0,0,0,1,0,1
Unrailed!,19.99,16849,93,1292781,Daedalic Entertainment,358465.77142857143,2020,Fall,4,4,1,0,1,0,0,1,0,0,0,0,0,0
Gloomhaven,34.99,13432,85,515174,Twin Sails Interactive,329722.6666666667,2021,Fall,3,3,0,1,0,0,0,0,0,1,0,0,0,1
My Friend Pedro,19.99,25953,96,900449,Devolver Digital,766832.0655737704,2019,Summer,5,4,1,0,0,0,0,1,0,0,0,0,0,0
Sunkenland,19.99,15919,84,699091,Vector3 Studio,699091.0,2023,Summer,1,3,1,0,0,1,0,1,0,0,0,0,0,0
TerraTech,24.99,20618,91,811790,Payload Studios,811790.0,2018,Summer,6,4,1,0,0,0,0,1,0,0,0,0,0,0
GOD EATER 3,59.99,8233,81,471170,BANDAI NAMCO Entertainment,548805.9117647059,2019,Winter,5,3,1,0,0,0,0,0,0,0,0,0,0,0
METAL GEAR SOLID V: GROUND ZEROES,19.99,15352,84,1322129,KONAMI,1196084.5384615385,2014,Winter,10,4,1,1,0,0,0,0,0,0,0,0,0,0
Automation - The Car Company Tycoon Game,29.99,11064,93,442052,Camshaft Software Ltd,442052.0,2015,Spring,9,3,0,0,0,1,0,1,0,0,1,1,0,1
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,29.99,20641,90,1181230,Electronic Arts,1221779.0483870967,2022,Spring,2,4,1,0,1,0,0,0,0,0,0,0,0,1
Dorfromantik,13.99,24499,97,1114441,Toukana Interactive,1114441.0,2022,Spring,2,4,0,0,1,0,0,1,0,0,0,1,0,1
Tyranny,29.99,11923,87,475701,Paradox Interactive,1036797.0,2016,Fall,8,3,0,1,0,0,0,0,0,1,0,0,0,0
Command & Conquer™ Red Alert™ 3,0.0,12864,86,1439735,Electronic Arts,1221779.0483870967,2009,Winter,15,4,0,0,0,0,0,0,0,0,0,0,0,1
SOMA,29.99,37668,96,1170787,Frictional Games,576530.4285714285,2015,Fall,9,4,1,1,0,0,0,1,0,0,0,0,0,0
Governor of Poker 3,0.0,15052,70,3142351,Playtika Ltd.,3142351.0,2016,Winter,8,4,0,0,1,0,1,0,1,0,0,1,0,0
Farming Simulator 15,12.99,14577,92,799933,Giants Software,1449093.5,2014,Fall,10,4,0,0,0,0,0,0,0,0,0,1,0,0
ShellShock Live,9.99,33126,93,2205618,kChamp Games,2205618.0,2020,Spring,4,4,1,0,1,0,0,1,1,0,0,0,0,1
"Hot Dogs, Horseshoes & Hand Grenades",19.99,19435,97,554257,RUST LTD.,554257.0,2016,Spring,8,3,1,0,0,1,0,0,0,0,0,1,0,0
Worms W.M.D,29.99,10329,85,1146013,Team17,1196493.2631578948,2016,Summer,8,4,1,0,0,0,0,0,0,0,0,0,0,1
Chinese Parents,9.99,22616,92,1931449,墨鱼玩游戏,1931449.0,2018,Fall,6,4,0,0,1,0,0,1,0,1,0,1,0,0
Orcs Must Die! 2,14.99,18566,93,1804108,Robot Entertainment,1003564.3333333334,2012,Summer,12,4,1,1,0,0,0,1,0,1,0,0,0,1
Aliens: Fireteam Elite,29.99,20551,80,643092,"Cold Iron Studios, Focus Entertainment",643092.0,2021,Summer,3,3,1,0,0,0,0,0,0,1,0,0,0,0
Marauders,29.99,18523,75,417198,Team17,1196493.2631578948,2022,Fall,2,3,1,0,0,1,0,0,0,0,0,0,0,0
Witch It,19.99,17544,89,1602424,Barrel Roll Games,1602424.0,2020,Fall,4,4,1,0,1,0,0,1,0,0,0,0,0,0
Verdun,19.99,36475,86,999040,BlackMill Games,688446.5,2015,Spring,9,4,1,0,0,0,0,1,1,0,0,1,0,1
Amnesia: The Dark Descent,19.99,31631,95,1600781,Frictional Games,576530.4285714285,2010,Fall,14,4,1,1,0,0,0,1,0,0,0,0,0,0
The Ascent,29.99,19814,75,724749,Curve Games,1381695.9285714286,2021,Summer,3,4,1,1,0,0,0,1,0,1,0,0,0,0
Rivals of Aether,29.99,30847,96,927688,Aether Studios,927688.0,2017,Spring,7,4,0,0,0,0,0,1,0,0,0,0,0,0
Children of Morta,21.99,18296,89,1054720,11 bit studios,1547853.0,2019,Fall,5,4,1,1,0,0,0,1,0,1,0,0,0,0
Viscera Cleanup Detail,12.99,19248,93,1450628,RuneStorm,956978.0,2015,Fall,9,4,0,0,0,0,0,1,0,0,0,1,0,0
KovaaK's,9.99,29643,93,1731732,KovaaK Games,1731732.0,2018,Spring,6,4,1,0,0,0,0,1,0,0,0,1,0,0
Tales from the Borderlands,19.99,16720,95,576379,2K,1044324.4615384615,2021,Winter,3,3,0,1,0,0,0,0,0,0,0,0,0,0
Portal Knights,19.99,20720,83,1190940,505 Games,625480.3181818182,2017,Spring,7,4,1,1,0,0,0,0,0,1,0,0,0,0
RAGE 2,39.99,15510,62,343652,Bethesda Softworks,1513561.1956521738,2019,Spring,5,3,1,0,0,0,0,0,0,0,0,0,0,0
POSTAL 2,9.99,92845,97,4317392,Running With Scissors,1715522.5,2012,Fall,12,4,1,1,0,0,0,1,0,0,0,0,0,0
Chained Together,4.99,16138,90,2366851,Anegar Games,2366851.0,2024,Summer,0,4,0,1,1,0,0,1,0,0,0,1,0,0
SimCity™ 4 Deluxe Edition,19.99,8127,81,1105651,"Electronic Arts, Aspyr (Mac)",1105651.0,2010,Summer,14,4,0,0,0,0,0,0,0,0,0,1,0,1
Old World,39.99,3017,81,346503,Hooded Horse,650517.2857142857,2022,Spring,2,3,0,0,0,0,0,0,0,0,0,1,0,1
The Walking Dead: Season Two,14.99,28664,96,1052088,Skybound Games,769440.4285714285,2013,Winter,11,4,0,1,0,0,0,0,0,0,0,0,0,0
PICO PARK,4.99,22678,91,3063451,TECOPARK,2091245.0,2021,Spring,3,4,1,0,1,0,0,1,0,0,0,0,0,0
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,19.99,9500,74,1068044,"LucasArts, Lucasfilm, Disney",516863.875,2009,Winter,15,4,1,0,0,0,0,0,0,0,0,0,0,0
Cooking Simulator,19.99,16388,85,881825,"Big Cheese Studio, PlayWay S.A.",515995.5,2019,Summer,5,4,0,0,0,0,0,0,0,0,0,1,0,0
FreshWomen - Season 1,13.99,15127,96,1071628,OppaiMan,1071628.0,2022,Summer,2,4,0,1,0,0,0,1,0,0,0,0,0,0
Love Is All Around,9.99,41815,94,1476109,intiny,1476109.0,2023,Fall,1,4,0,1,0,0,0,1,0,1,0,1,0,1
Absolver,29.99,13918,72,484321,Devolver Digital,766832.0655737704,2017,Summer,7,3,1,1,0,0,0,1,0,0,0,0,0,0
Darksiders Genesis,29.99,11107,83,580225,THQ Nordic,419189.89130434784,2019,Winter,5,3,1,1,0,0,0,0,0,0,0,0,0,0
嗜血印 Bloody Spell,24.99,31307,89,1343860,艺龙游戏,1343860.0,2022,Winter,2,4,1,1,0,0,0,1,0,1,0,0,0,0
Goose Goose Duck,0.0,63999,87,17827385,"Gaggle Studios, Inc.",17827385.0,2021,Fall,3,4,0,0,1,0,1,1,1,0,0,0,0,1
A Dance of Fire and Ice,5.99,61624,94,2578975,"7th Beat Games, indienova",1536318.5,2019,Winter,5,4,0,0,0,0,0,1,0,0,0,0,0,0
Aimlabs,0.0,113637,94,19697684,"State Space Labs, Inc.",19697684.0,2023,Summer,1,4,1,1,1,0,1,1,0,0,0,1,0,0
Sniper Ghost Warrior 3,19.99,17144,66,752106,CI Games,588348.6666666666,2017,Spring,7,4,1,0,0,0,0,0,0,0,0,0,0,0
A Plague Tale: Requiem,49.99,13043,92,391735,Focus Entertainment,541846.2352941176,2022,Fall,2,3,1,1,0,0,0,0,0,0,0,0,0,0
ROMANCE OF THE THREE KINGDOMS XIV,59.99,13730,61,274213,"KOEI TECMO GAMES CO., LTD.",335365.6842105263,2020,Winter,4,2,0,0,0,0,0,0,0,0,0,1,0,0
Baldur's Gate: Enhanced Edition,19.99,14501,92,1092248,Beamdog,484816.0,2013,Winter,11,4,0,1,0,0,0,0,0,1,0,0,0,0
Smalland: Survive the Wilds,34.99,5748,87,446888,"Merge Games, Maximum Entertainment",446888.0,2024,Winter,0,3,1,1,0,0,0,1,0,1,0,0,0,0
Return of the Obra Dinn,19.99,23532,97,714101,3909,2461724.5,2018,Fall,6,4,0,1,0,0,0,1,0,0,0,0,0,0
We Were Here Together,12.99,12393,85,1282544,Total Mayhem Games,1276815.4,2019,Fall,5,4,0,1,1,0,0,1,0,0,0,0,0,0
Miscreated,29.99,31557,66,939225,Entrada Interactive LLC,939225.0,2018,Winter,6,4,1,1,0,0,0,1,1,1,0,1,0,1
Kingdom Two Crowns,19.99,22530,91,1280929,Raw Fury,606066.2666666667,2018,Winter,6,4,0,1,0,0,0,1,0,0,0,1,0,1
Baba Is You,14.99,18894,98,898941,Hempuli Oy,898941.0,2019,Spring,5,4,0,0,0,0,0,1,0,0,0,0,0,0
Ravenfield,17.99,65112,97,1024738,SteelRaven7,1024738.0,2017,Spring,7,4,1,0,0,1,0,1,0,0,0,0,0,0
Rec Room,0.0,64659,91,3777123,Rec Room,3777123.0,2021,Fall,3,4,0,1,1,0,1,0,1,0,0,0,0,0
Transport Fever,29.99,10499,83,529300,Good Shepherd Entertainment,346620.8333333333,2016,Fall,8,3,0,0,0,0,0,0,0,0,0,1,0,0
Subverse,29.99,11165,71,469420,Streembit Ltd,469420.0,2021,Spring,3,3,1,1,1,1,0,0,0,1,0,0,0,1
RaceRoom Racing Experience,0.0,21380,74,2850195,"KW Studios, RaceRoom Entertainment AG",2850195.0,2013,Winter,11,4,0,0,0,0,1,0,0,0,1,1,1,0
Shadows of Doubt,19.99,9206,93,597675,Fireshine Games,899563.0,2023,Spring,1,3,1,1,0,1,0,1,0,1,0,0,0,0
Assassin's Creed® Revelations,19.99,14890,86,1250891,Ubisoft,914871.4875,2011,Fall,13,4,1,1,0,0,0,0,0,0,0,0,0,0
Amazing Cultivation Simulator,24.99,21616,86,706795,Gamera Games,562142.7272727273,2020,Fall,4,4,0,0,0,0,0,1,0,1,0,1,0,1
Galactic Civilizations III,39.99,10143,77,476818,Stardock Entertainment,373169.0,2019,Fall,5,3,0,0,0,0,0,0,0,0,0,0,0,1
DEAD OR ALIVE 6,59.99,8295,74,347587,"KOEI TECMO GAMES CO., LTD.",335365.6842105263,2019,Winter,5,3,1,0,0,0,0,0,0,0,0,0,0,0
Sniper Ghost Warrior Contracts,29.99,10826,74,711522,CI Games,588348.6666666666,2019,Fall,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Prototype 2,39.99,13875,76,599630,Activision,921898.9310344828,2012,Summer,12,3,1,1,0,0,0,0,0,0,0,0,0,0
Holdfast: Nations At War,19.99,23025,90,868561,Anvil Game Studios,868561.0,2020,Spring,4,4,1,0,0,0,0,1,1,1,0,1,0,1
Zero Hour,11.99,26758,80,1158603,"Attrito, M7 Productions",1158603.0,2020,Summer,4,4,1,0,0,1,0,0,0,0,0,1,0,1
Maneater,39.99,13038,89,469627,Tripwire Interactive,1287160.7777777778,2021,Spring,3,3,1,1,0,0,0,1,0,1,0,0,0,0
Resident Evil,19.99,21840,93,1055085,"CAPCOM Co., Ltd.",1327660.2857142857,2015,Winter,9,4,1,1,0,0,0,0,0,0,0,0,0,0
Trailmakers,24.99,19156,93,847193,Flashbulb,761922.0,2019,Fall,5,4,1,1,0,0,0,1,0,0,1,1,0,0
Ravenswatch,19.99,7076,81,598637,Nacon,267172.9166666667,2023,Spring,1,3,1,1,0,1,0,0,0,0,0,0,0,0
Youtubers Life,24.99,15032,77,837694,"UPLAY Online, 🚀 Raiser Games",837694.0,2017,Winter,7,4,0,1,1,0,0,1,0,0,0,1,0,1
Overcooked! All You Can Eat,39.99,3686,72,487951,Team17 Digital,257302.75,2021,Spring,3,3,0,0,1,0,0,1,0,0,0,1,0,1
DYNASTY WARRIORS 9,44.99,9604,35,231506,"KOEI TECMO GAMES CO., LTD.",335365.6842105263,2019,Winter,5,2,1,0,0,0,0,0,0,0,0,0,0,0
